trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.7, 'e': 0.2064075371174136}",20,3,-95.3868440887732,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 3}",1
158,False,"{'a': 0.7, 'e': 0.2043434617462395}",30,12,25.97470588301564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.2023000271287771}",35,10,20.460423312444036,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.2002770268574893}",20,6,-17.52415624984078,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.7, 'e': 0.19827425658891443}",25,13,14.141671319092334,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.19629151402302528}",20,10,21.73259103940201,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279502}",30,2,-52.00697538986973,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 2}",1
164,False,"{'a': 0.7, 'e': 0.19238531289396707}",20,5,24.726556517162017,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.1904614597650274}",30,18,13.962296659324952,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.1885568451673771}",20,10,-11.107154853202518,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",20,10,-24.300174133022587,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.7, 'e': 0.1848045639485463}",20,5,16.5151039516562,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906084}",25,0,-20.897439773871458,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
170,False,"{'a': 0.7, 'e': 0.18112695312597024}",25,18,10.76129579286588,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471053}",25,3,12.658761486624044,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876343}",30,20,15.31112360944916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
